Indians	NORP	inslaw2	3
Wackenhut	ORG	inslaw3	3
African	NORP	inthenam	3
Russians	NORP	inthenam	3
Montreal	GPE	ironmoun	3
Judaic	NORP	issue-15	3
Judaism	NORP	issue-18	3
African	NORP	issue-21	3
Judaic	NORP	issue-25	3
Egyptians	NORP	issue-26	3
CIA	ORG	jfk-0002	3
Cuban	NORP	jfk-0003	3
British	NORP	jfk-echo	3
CIA	ORG	jfkkill	3
Vietnamese	NORP	jfkmessages	3
RFK	PERSON	jfkques	3
MLK	PERSON	jfkques	3
FBI	ORG	kisdeath	3
Indianapolis	NORP	kisdeath	3
Inslaw	ORG	kisdeath	3
Northwest	PERSON	kurt	3
Babylon	GPE	kurtresp	3
Richmond	GPE	larouche	3
Jews	NORP	lostkey	3
Russian	NORP	mccabe01	3
Canada	GPE	mccabe01	3
Japanese	NORP	mccabe01	3
Indians	NORP	mccabe02	3
Japanese	NORP	mccabe05	3
Russian	NORP	mccabe05	3
New York	GPE	mccabe06	3
Russian	NORP	mccabe07	3
Jews	NORP	mccabe10	3
Gauleiter	NORP	mccabe11	3
Jews	NORP	mccabe13	3
Japanese	NORP	mccabe13	3
Judaea	NORP	mccabe15	3
Freemasons	NORP	mccabe17	3
Canada	GPE	mccabe17	3
Japanese	NORP	mccabe17	3
Freemason	NORP	mccabe18	3
Russians	NORP	nazidocs	3
Dachau	LOC	nazidocs	3
CIA	ORG	ntlguard	3
Vatican	GPE	opal	3
New York	GPE	opal	3
Montreal	GPE	opal	3
North	LOC	opal	3
Babylonia	GPE	outline1	3
Bagdad	GPE	outline1	3
Freemasonry	NORP	outline1	3
Freemasons	NORP	outline1	3
Egyptian	NORP	outline1	3
FBI	ORG	peril	3
New York	GPE	peril	3
British	NORP	peril	3
Butter	GPE	peril	3
Russian	NORP	pluton	3
British	NORP	right-lf	3
Diamond	PERSON	right-lf	3
Richmond	GPE	right-lf	3
Clinton	PERSON	sc003	3
Rockefeller	PERSON	sc006	3
Clinton	PERSON	sc007	3
Clinton	PERSON	sc020	3
Clinton	PERSON	sc023	3
Vatican	GPE	scrtgovt	3
Russians	NORP	secret	3
Russians	NORP	secretw	3
Tesla	PERSON	sem7	3
Clinton	PERSON	senators	3
Gramm	PERSON	senators	3
DeConcini	PERSON	senators	3
Johnston	PERSON	senators	3
ABC	ORG	shadwcia	3
Japanese	NORP	shoah001	3
McCarthy	PERSON	shoah002	3
Dachau	LOC	shoah002	3
Jewry	NORP	shoah003	3
British	NORP	shoah004	3
British	NORP	skolnick9503	3
Clinton	PERSON	skolnick9503	3
Canada	GPE	taking	3
Hyannisport	LOC	taking	3
Indiana	NORP	taking	3
New York	GPE	tesla	3
New York Times	ORG	tesla2	3
New York	GPE	teslaved	3
Tesla	PERSON	tesquote	3
North	LOC	uni-cons	3
IAC	EVENT	uni-cons	3
MAJIC	ORG	uni-cons	3
New York	GPE	waves	3
New York Times	ORG	weaver	3
FBI	ORG	web	3
Zionist	NORP	wtcbomb1	3
British	NORP	wtcbomb1	3
Egyptian	NORP	wtcbomb2	3
Starmaster	PERSON	9dims	2
MasterCard	ORG	666_ibm	2
New York	GPE	666_ibm	2
UFO	EVENT	a-z-cons	2
Reagan	PERSON	a-z-cons	2
Marconi	PERSON	a-z-cons	2
Yakuza	ORG	a-z-cons	2
Zagreb	GPE	a-z-cons	2
British	NORP	cncka002	2
Sun	LOC	cncka002	2
Mooney	LOC	cncka003	2
Vatican	GPE	consp	2
Beethoven	PERSON	consp	2
McCarthy	PERSON	consp	2
Sun	LOC	consp	2
Japanese	NORP	consp	2
Russian	NORP	consp	2
Reagan	PERSON	contrcia	2
Columbia	GPE	contrcia	2
Cuban	NORP	cowtown	2
FBI	ORG	cowtown	2
New York	GPE	cowtown	2
UFOs	EVENT	crybaby	2
New York	GPE	crybaby	2
North Pole	LOC	crybaby	2
New York Times	ORG	crybaby	2
Sun	LOC	crybaby	2
McDonald	PERSON	deaths	2
Zapruder	PERSON	deaths	2
FBI	ORG	dictator	2
FBI	ORG	diplomat	2
New York	GPE	drug-cia	2
Albuquerque	GPE	evol-110	2
African	NORP	exec_ord	2
NSTAC	ORG	exec_ord	2
African	NORP	executiv	2
NSTAC	ORG	executiv	2
New York	GPE	fakeaids	2
Indian	NORP	fema-1	2
Pennsylvania	GPE	fema-1	2
CAIB	ORG	fema-1	2
Reagan	PERSON	fema-2	2
African	NORP	fema-2	2
FBI	ORG	fema-3	2
NSTAC	ORG	fema-3	2
Pennsylvania	GPE	foia	2
Jeremiads	NORP	forg0int	2
Columbia	GPE	forg0int	2
Buffalo	GPE	forg0int	2
CHRISTIAN	NORP	forg0int	2
Vatican	GPE	forg1	2
Judaism	NORP	forg2	2
Babylon	GPE	forg2	2
Egyptian	NORP	forg2	2
CHRISTIAN	NORP	forg2	2
Vespasian	PERSON	forg2	2
CHRISTIAN	NORP	forg3	2
Judaism	NORP	forg3	2
Pagans	NORP	forg3	2
Egyptians	NORP	forg3	2
Judas	NORP	forg3	2
PAGAN	NORP	forg4	2
CHRISTIAN	NORP	forg4	2
African	NORP	forg5	2
Nazareth	GPE	forg5	2
New York Times	ORG	forg6	2
Northern	PERSON	forg7	2
Columbia	GPE	forg7	2
Infidels	NORP	forg7	2
Monk	NORP	forg7	2
UFOs	EVENT	forward	2
